,machineID,dt_truncated,comp1sum,comp2sum,comp3sum,comp4sum
0,1,2015-04-02 14:00:00,110.0,305.0,245.0,260.0
1,1,2015-05-12 02:00:00,150.0,345.0,285.0,300.0
2,1,2015-07-26 14:00:00,225.0,420.0,360.0,375.0
3,1,2015-08-04 02:00:00,234.0,429.0,369.0,384.0
4,1,2015-08-23 14:00:00,253.0,448.0,388.0,403.0
5,1,2015-12-17 01:00:00,369.0,564.0,504.0,519.0
6,2,2015-05-31 02:00:00,349.0,289.0,319.0,184.0
7,2,2015-08-23 02:00:00,433.0,373.0,403.0,268.0
8,2,2015-09-14 14:00:00,455.0,395.0,425.0,290.0
9,3,2015-02-17 13:00:00,186.0,81.0,246.0,231.0
10,3,2015-04-09 14:00:00,237.0,132.0,297.0,282.0
11,3,2015-06-19 02:00:00,308.0,203.0,368.0,353.0
12,4,2015-05-01 14:00:00,274.0,319.0,169.0,139.0
13,4,2015-07-07 14:00:00,341.0,386.0,236.0,206.0
14,4,2015-10-21 14:00:00,447.0,492.0,342.0,312.0
15,4,2015-11-15 13:00:00,472.0,517.0,367.0,337.0
16,6,2015-09-19 14:00:00,265.0,475.0,370.0,370.0
17,6,2015-10-17 02:00:00,293.0,503.0,398.0,398.0
18,7,2015-01-23 13:00:00,206.0,161.0,206.0,56.0
19,7,2015-04-06 14:00:00,279.0,234.0,279.0,129.0
20,7,2015-04-16 14:00:00,289.0,244.0,289.0,139.0
21,7,2015-06-16 02:00:00,350.0,305.0,350.0,200.0
22,7,2015-07-20 14:00:00,384.0,339.0,384.0,234.0
23,7,2015-11-05 01:00:00,492.0,447.0,492.0,342.0
24,8,2015-06-14 14:00:00,198.0,243.0,288.0,183.0
25,9,2015-01-19 13:00:00,232.0,232.0,22.0,52.0
26,9,2015-02-10 13:00:00,254.0,254.0,44.0,74.0
27,10,2015-02-02 01:00:00,111.0,156.0,231.0,126.0
28,10,2015-05-08 02:00:00,206.0,251.0,326.0,221.0
29,10,2015-06-18 02:00:00,247.0,292.0,367.0,262.0
30,10,2015-08-25 02:00:00,315.0,360.0,435.0,330.0
31,10,2015-12-13 01:00:00,425.0,470.0,545.0,440.0
32,11,2015-02-17 01:00:00,216.0,261.0,216.0,96.0
33,11,2015-03-01 01:00:00,228.0,273.0,228.0,108.0
34,11,2015-09-22 02:00:00,433.0,478.0,433.0,313.0
35,12,2015-11-04 13:00:00,356.0,446.0,461.0,431.0
36,12,2015-11-09 13:00:00,361.0,451.0,466.0,436.0
37,13,2015-01-25 13:00:00,223.0,28.0,58.0,148.0
38,13,2015-02-18 13:00:00,247.0,52.0,82.0,172.0
39,13,2015-03-17 13:00:00,274.0,79.0,109.0,199.0
40,13,2015-05-02 02:00:00,320.0,125.0,155.0,245.0
